,DateTime,Seq,Watt
90,2013년 3월 4일 - 18시,18,2640
91,2013년 3월 4일 - 19시,19,453
92,2013년 3월 4일 - 20시,20,409
93,2013년 3월 4일 - 21시,21,2636
94,2013년 3월 4일 - 22시,22,586
95,2013년 3월 4일 - 23시,23,332
96,2013년 3월 5일 - 0시,0,286
97,2013년 3월 5일 - 1시,1,334
98,2013년 3월 5일 - 2시,2,274
99,2013년 3월 5일 - 3시,3,198
100,2013년 3월 5일 - 4시,4,216
101,2013년 3월 5일 - 5시,5,187
102,2013년 3월 5일 - 6시,6,219
103,2013년 3월 5일 - 7시,7,6121
104,2013년 3월 5일 - 8시,8,592
105,2013년 3월 5일 - 9시,9,251
106,2013년 3월 5일 - 10시,10,265
107,2013년 3월 5일 - 11시,11,936
108,2013년 3월 5일 - 12시,12,254
109,2013년 3월 5일 - 13시,13,230
110,2013년 3월 5일 - 14시,14,239
111,2013년 3월 5일 - 15시,15,305
112,2013년 3월 5일 - 16시,16,417
113,2013년 3월 5일 - 17시,17,2095
114,2013년 3월 5일 - 18시,18,2755
115,2013년 3월 5일 - 19시,19,522
116,2013년 3월 5일 - 20시,20,1055
117,2013년 3월 5일 - 21시,21,2446
118,2013년 3월 5일 - 22시,22,2239
119,2013년 3월 5일 - 23시,23,226
120,2013년 3월 6일 - 0시,0,328
121,2013년 3월 6일 - 1시,1,192
122,2013년 3월 6일 - 2시,2,1243
123,2013년 3월 6일 - 3시,3,274
124,2013년 3월 6일 - 4시,4,267
125,2013년 3월 6일 - 5시,5,225
126,2013년 3월 6일 - 6시,6,408
127,2013년 3월 6일 - 7시,7,507
128,2013년 3월 6일 - 8시,8,3408
129,2013년 3월 6일 - 9시,9,5144
130,2013년 3월 6일 - 10시,10,3159
131,2013년 3월 6일 - 11시,11,1913
132,2013년 3월 6일 - 12시,12,4066
133,2013년 3월 6일 - 13시,13,303
134,2013년 3월 6일 - 14시,14,231
135,2013년 3월 6일 - 15시,15,231
136,2013년 3월 6일 - 16시,16,447
137,2013년 3월 6일 - 17시,17,726
138,2013년 3월 6일 - 18시,18,3011
139,2013년 3월 6일 - 19시,19,801
140,2013년 3월 6일 - 20시,20,2623
141,2013년 3월 6일 - 21시,21,460
142,2013년 3월 6일 - 22시,22,2724
143,2013년 3월 6일 - 23시,23,211
144,2013년 3월 7일 - 0시,0,1806
145,2013년 3월 7일 - 1시,1,192
146,2013년 3월 7일 - 2시,2,198
147,2013년 3월 7일 - 3시,3,203
148,2013년 3월 7일 - 4시,4,1210
149,2013년 3월 7일 - 5시,5,198
150,2013년 3월 7일 - 6시,6,2719
151,2013년 3월 7일 - 7시,7,4301
152,2013년 3월 7일 - 8시,8,437
153,2013년 3월 7일 - 9시,9,252
154,2013년 3월 7일 - 10시,10,254
155,2013년 3월 7일 - 11시,11,2464
156,2013년 3월 7일 - 12시,12,2462
157,2013년 3월 7일 - 13시,13,4652
158,2013년 3월 7일 - 14시,14,1082
159,2013년 3월 7일 - 15시,15,327
160,2013년 3월 7일 - 16시,16,336
161,2013년 3월 7일 - 17시,17,2671
162,2013년 3월 7일 - 18시,18,2112
163,2013년 3월 7일 - 19시,19,2530
164,2013년 3월 7일 - 20시,20,2857
165,2013년 3월 7일 - 21시,21,990
166,2013년 3월 7일 - 22시,22,438
167,2013년 3월 7일 - 23시,23,287
168,2013년 3월 8일 - 0시,0,240
169,2013년 3월 8일 - 1시,1,213
170,2013년 3월 8일 - 2시,2,353
171,2013년 3월 8일 - 3시,3,353
172,2013년 3월 8일 - 4시,4,217
173,2013년 3월 8일 - 5시,5,216
174,2013년 3월 8일 - 6시,6,4403
175,2013년 3월 8일 - 7시,7,4412
176,2013년 3월 8일 - 8시,8,488
177,2013년 3월 8일 - 9시,9,2690
178,2013년 3월 8일 - 10시,10,271
179,2013년 3월 8일 - 11시,11,1121
180,2013년 3월 8일 - 12시,12,626
181,2013년 3월 8일 - 13시,13,1991
182,2013년 3월 8일 - 14시,14,218
183,2013년 3월 8일 - 15시,15,222
184,2013년 3월 8일 - 16시,16,2990
185,2013년 3월 8일 - 17시,17,3070
186,2013년 3월 8일 - 18시,18,4630
187,2013년 3월 8일 - 19시,19,593
188,2013년 3월 8일 - 20시,20,1050
189,2013년 3월 8일 - 21시,21,2771
190,2013년 3월 8일 - 22시,22,1058
191,2013년 3월 8일 - 23시,23,226
192,2013년 3월 9일 - 0시,0,206
193,2013년 3월 9일 - 1시,1,204
194,2013년 3월 9일 - 2시,2,202
195,2013년 3월 9일 - 3시,3,214
196,2013년 3월 9일 - 4시,4,290
197,2013년 3월 9일 - 5시,5,229
198,2013년 3월 9일 - 6시,6,212
199,2013년 3월 9일 - 7시,7,2622
200,2013년 3월 9일 - 8시,8,549
201,2013년 3월 9일 - 9시,9,251
202,2013년 3월 9일 - 10시,10,788
203,2013년 3월 9일 - 11시,11,287
204,2013년 3월 9일 - 12시,12,293
205,2013년 3월 9일 - 13시,13,283
206,2013년 3월 9일 - 14시,14,295
207,2013년 3월 9일 - 15시,15,259
208,2013년 3월 9일 - 16시,16,454
209,2013년 3월 9일 - 17시,17,281
210,2013년 3월 9일 - 18시,18,270
211,2013년 3월 9일 - 19시,19,2040
212,2013년 3월 9일 - 20시,20,2611
213,2013년 3월 9일 - 21시,21,853
214,2013년 3월 9일 - 22시,22,2808
215,2013년 3월 9일 - 23시,23,2480
216,2013년 3월 10일 - 0시,0,239
217,2013년 3월 10일 - 1시,1,690
218,2013년 3월 10일 - 2시,2,813
219,2013년 3월 10일 - 3시,3,690
220,2013년 3월 10일 - 4시,4,1166
221,2013년 3월 10일 - 5시,5,2210
222,2013년 3월 10일 - 6시,6,814
223,2013년 3월 10일 - 7시,7,832
224,2013년 3월 10일 - 8시,8,2012
225,2013년 3월 10일 - 9시,9,590
226,2013년 3월 10일 - 10시,10,2662
227,2013년 3월 10일 - 11시,11,498
228,2013년 3월 10일 - 12시,12,635
229,2013년 3월 10일 - 13시,13,2501
230,2013년 3월 10일 - 14시,14,554
231,2013년 3월 10일 - 15시,15,547
232,2013년 3월 10일 - 16시,16,690
233,2013년 3월 10일 - 17시,17,709
234,2013년 3월 10일 - 18시,18,2199
235,2013년 3월 10일 - 19시,19,2032
236,2013년 3월 10일 - 20시,20,790
237,2013년 3월 10일 - 21시,21,4676
238,2013년 3월 10일 - 22시,22,525
239,2013년 3월 10일 - 23시,23,261
240,2013년 3월 11일 - 0시,0,742
241,2013년 3월 11일 - 1시,1,269
242,2013년 3월 11일 - 2시,2,211
243,2013년 3월 11일 - 3시,3,198
244,2013년 3월 11일 - 4시,4,797
245,2013년 3월 11일 - 5시,5,251
246,2013년 3월 11일 - 6시,6,241
247,2013년 3월 11일 - 7시,7,4186
248,2013년 3월 11일 - 8시,8,2012
249,2013년 3월 11일 - 9시,9,590
250,2013년 3월 11일 - 10시,10,2662
251,2013년 3월 11일 - 11시,11,498
252,2013년 3월 11일 - 12시,12,635
253,2013년 3월 11일 - 13시,13,2501
254,2013년 3월 11일 - 14시,14,554
255,2013년 3월 11일 - 15시,15,547
256,2013년 3월 11일 - 16시,16,690
257,2013년 3월 11일 - 17시,17,709
258,2013년 3월 11일 - 18시,18,2199
259,2013년 3월 11일 - 19시,19,2032
260,2013년 3월 11일 - 20시,20,790
261,2013년 3월 11일 - 21시,21,4676
262,2013년 3월 11일 - 22시,22,525
263,2013년 3월 11일 - 23시,23,261
264,2013년 3월 12일 - 0시,0,742
265,2013년 3월 12일 - 1시,1,269
266,2013년 3월 12일 - 2시,2,211
267,2013년 3월 12일 - 3시,3,198
268,2013년 3월 12일 - 4시,4,797
269,2013년 3월 12일 - 5시,5,251
270,2013년 3월 12일 - 6시,6,241
271,2013년 3월 12일 - 7시,7,4186
272,2013년 3월 12일 - 8시,8,2012
273,2013년 3월 12일 - 9시,9,590
274,2013년 3월 12일 - 10시,10,235
275,2013년 3월 12일 - 11시,11,1894
276,2013년 3월 12일 - 12시,12,2814
277,2013년 3월 12일 - 13시,13,2857
278,2013년 3월 12일 - 14시,14,2966
279,2013년 3월 12일 - 15시,15,2667
280,2013년 3월 12일 - 16시,16,497
281,2013년 3월 12일 - 17시,17,2827
282,2013년 3월 12일 - 18시,18,2524
283,2013년 3월 12일 - 19시,19,1672
284,2013년 3월 12일 - 20시,20,966
285,2013년 3월 12일 - 21시,21,1879
286,2013년 3월 12일 - 22시,22,1560
287,2013년 3월 12일 - 23시,23,259
288,2013년 3월 13일 - 0시,0,265
289,2013년 3월 13일 - 1시,1,217
290,2013년 3월 13일 - 2시,2,283
291,2013년 3월 13일 - 3시,3,727
292,2013년 3월 13일 - 4시,4,2015
293,2013년 3월 13일 - 5시,5,1391
294,2013년 3월 13일 - 6시,6,353
295,2013년 3월 13일 - 7시,7,4853
296,2013년 3월 13일 - 8시,8,2866
297,2013년 3월 13일 - 9시,9,336
298,2013년 3월 13일 - 10시,10,2723
299,2013년 3월 13일 - 11시,11,2965
300,2013년 3월 13일 - 12시,12,3030
301,2013년 3월 13일 - 13시,13,1971
302,2013년 3월 13일 - 14시,14,2629
303,2013년 3월 13일 - 15시,15,327
304,2013년 3월 13일 - 16시,16,326
305,2013년 3월 13일 - 17시,17,715
306,2013년 3월 13일 - 18시,18,3720
307,2013년 3월 13일 - 19시,19,515
308,2013년 3월 13일 - 20시,20,1629
309,2013년 3월 13일 - 21시,21,2485
310,2013년 3월 13일 - 22시,22,655
311,2013년 3월 13일 - 23시,23,2632
312,2013년 3월 14일 - 0시,0,2631
313,2013년 3월 14일 - 1시,1,683
314,2013년 3월 14일 - 2시,2,730
315,2013년 3월 14일 - 3시,3,525
316,2013년 3월 14일 - 4시,4,760
317,2013년 3월 14일 - 5시,5,749
318,2013년 3월 14일 - 6시,6,853
319,2013년 3월 14일 - 7시,7,754
320,2013년 3월 14일 - 8시,8,2612
321,2013년 3월 14일 - 9시,9,907
322,2013년 3월 14일 - 10시,10,326
323,2013년 3월 14일 - 11시,11,409
324,2013년 3월 14일 - 12시,12,3029
325,2013년 3월 14일 - 13시,13,2794
326,2013년 3월 14일 - 14시,14,249
327,2013년 3월 14일 - 15시,15,1978
328,2013년 3월 14일 - 16시,16,310
329,2013년 3월 14일 - 17시,17,3126
330,2013년 3월 14일 - 18시,18,3009
331,2013년 3월 14일 - 19시,19,337
332,2013년 3월 14일 - 20시,20,674
333,2013년 3월 14일 - 21시,21,526
334,2013년 3월 14일 - 22시,22,561
335,2013년 3월 14일 - 23시,23,796
336,2013년 3월 15일 - 0시,0,340
337,2013년 3월 15일 - 1시,1,280
338,2013년 3월 15일 - 2시,2,389
339,2013년 3월 15일 - 3시,3,235
340,2013년 3월 15일 - 4시,4,284
341,2013년 3월 15일 - 5시,5,246
342,2013년 3월 15일 - 6시,6,348
343,2013년 3월 15일 - 7시,7,2732
344,2013년 3월 15일 - 8시,8,4584
345,2013년 3월 15일 - 9시,9,282
346,2013년 3월 15일 - 10시,10,359
347,2013년 3월 15일 - 11시,11,2040
348,2013년 3월 15일 - 12시,12,367
349,2013년 3월 15일 - 13시,13,1948
350,2013년 3월 15일 - 14시,14,289
351,2013년 3월 15일 - 15시,15,293
352,2013년 3월 15일 - 16시,16,821
353,2013년 3월 15일 - 17시,17,894
354,2013년 3월 15일 - 18시,18,2997
355,2013년 3월 15일 - 19시,19,2736
356,2013년 3월 15일 - 20시,20,3222
357,2013년 3월 15일 - 21시,21,2812
358,2013년 3월 15일 - 22시,22,3090
359,2013년 3월 15일 - 23시,23,2443
360,2013년 3월 16일 - 0시,0,418
361,2013년 3월 16일 - 1시,1,243
362,2013년 3월 16일 - 2시,2,756
363,2013년 3월 16일 - 3시,3,335
364,2013년 3월 16일 - 4시,4,332
365,2013년 3월 16일 - 5시,5,366
366,2013년 3월 16일 - 6시,6,251
367,2013년 3월 16일 - 7시,7,311
368,2013년 3월 16일 - 8시,8,3088
369,2013년 3월 16일 - 9시,9,4700
370,2013년 3월 16일 - 10시,10,445
371,2013년 3월 16일 - 11시,11,1246
372,2013년 3월 16일 - 12시,12,2945
373,2013년 3월 16일 - 13시,13,2571
374,2013년 3월 16일 - 14시,14,5070
375,2013년 3월 16일 - 15시,15,1712
376,2013년 3월 16일 - 16시,16,2052
377,2013년 3월 16일 - 17시,17,4627
378,2013년 3월 16일 - 18시,18,2421
379,2013년 3월 16일 - 19시,19,3054
380,2013년 3월 16일 - 20시,20,3105
381,2013년 3월 16일 - 21시,21,2620
382,2013년 3월 16일 - 22시,22,3132
383,2013년 3월 16일 - 23시,23,245
384,2013년 3월 17일 - 0시,0,297
385,2013년 3월 17일 - 1시,1,253
386,2013년 3월 17일 - 2시,2,237
387,2013년 3월 17일 - 3시,3,321
388,2013년 3월 17일 - 4시,4,234
389,2013년 3월 17일 - 5시,5,375
390,2013년 3월 17일 - 6시,6,306
391,2013년 3월 17일 - 7시,7,2623
392,2013년 3월 17일 - 8시,8,4537
393,2013년 3월 17일 - 9시,9,463
394,2013년 3월 17일 - 10시,10,4994
395,2013년 3월 17일 - 11시,11,4913
396,2013년 3월 17일 - 12시,12,4787
397,2013년 3월 17일 - 13시,13,6413
398,2013년 3월 17일 - 14시,14,2706
399,2013년 3월 17일 - 15시,15,3523
400,2013년 3월 17일 - 16시,16,3780
401,2013년 3월 17일 - 17시,17,2924
402,2013년 3월 17일 - 18시,18,3850
403,2013년 3월 17일 - 19시,19,2145
404,2013년 3월 17일 - 20시,20,3259
405,2013년 3월 17일 - 21시,21,515
406,2013년 3월 17일 - 22시,22,288
407,2013년 3월 17일 - 23시,23,300
408,2013년 3월 18일 - 0시,0,257
409,2013년 3월 18일 - 1시,1,2133
410,2013년 3월 18일 - 2시,2,463
411,2013년 3월 18일 - 3시,3,304
412,2013년 3월 18일 - 4시,4,333
413,2013년 3월 18일 - 5시,5,250
414,2013년 3월 18일 - 6시,6,2834
415,2013년 3월 18일 - 7시,7,573
416,2013년 3월 18일 - 8시,8,4612
417,2013년 3월 18일 - 9시,9,342
418,2013년 3월 18일 - 10시,10,417
419,2013년 3월 18일 - 11시,11,4463
420,2013년 3월 18일 - 12시,12,1980
421,2013년 3월 18일 - 13시,13,346
422,2013년 3월 18일 - 14시,14,573
423,2013년 3월 18일 - 15시,15,794
424,2013년 3월 18일 - 16시,16,732
425,2013년 3월 18일 - 17시,17,694
426,2013년 3월 18일 - 18시,18,3067
427,2013년 3월 18일 - 19시,19,533
428,2013년 3월 18일 - 20시,20,570
429,2013년 3월 18일 - 21시,21,3049
430,2013년 3월 18일 - 22시,22,532
431,2013년 3월 18일 - 23시,23,242
432,2013년 3월 19일 - 0시,0,317
433,2013년 3월 19일 - 1시,1,371
434,2013년 3월 19일 - 2시,2,356
435,2013년 3월 19일 - 3시,3,272
436,2013년 3월 19일 - 4시,4,243
437,2013년 3월 19일 - 5시,5,434
438,2013년 3월 19일 - 6시,6,478
439,2013년 3월 19일 - 7시,7,4936
440,2013년 3월 19일 - 8시,8,2814
441,2013년 3월 19일 - 9시,9,2611
442,2013년 3월 19일 - 10시,10,4924
443,2013년 3월 19일 - 11시,11,4876
444,2013년 3월 19일 - 12시,12,648
445,2013년 3월 19일 - 13시,13,299
446,2013년 3월 19일 - 14시,14,817
447,2013년 3월 19일 - 15시,15,480
448,2013년 3월 19일 - 16시,16,496
449,2013년 3월 19일 - 17시,17,2286
450,2013년 3월 19일 - 18시,18,3122
451,2013년 3월 19일 - 19시,19,2203
452,2013년 3월 19일 - 20시,20,284
453,2013년 3월 19일 - 21시,21,2204
454,2013년 3월 19일 - 22시,22,391
455,2013년 3월 19일 - 23시,23,241
456,2013년 3월 20일 - 0시,0,252
457,2013년 3월 20일 - 1시,1,350
458,2013년 3월 20일 - 2시,2,760
459,2013년 3월 20일 - 3시,3,317
460,2013년 3월 20일 - 4시,4,859
461,2013년 3월 20일 - 5시,5,284
462,2013년 3월 20일 - 6시,6,483
463,2013년 3월 20일 - 7시,7,4459
464,2013년 3월 20일 - 8시,8,4502
465,2013년 3월 20일 - 9시,9,472
466,2013년 3월 20일 - 10시,10,447
467,2013년 3월 20일 - 11시,11,3017
468,2013년 3월 20일 - 12시,12,2905
469,2013년 3월 20일 - 13시,13,281
470,2013년 3월 20일 - 14시,14,3073
471,2013년 3월 20일 - 15시,15,639
472,2013년 3월 20일 - 16시,16,718
473,2013년 3월 20일 - 17시,17,3224
474,2013년 3월 20일 - 18시,18,2555
475,2013년 3월 20일 - 19시,19,735
476,2013년 3월 20일 - 20시,20,739
477,2013년 3월 20일 - 21시,21,2391
478,2013년 3월 20일 - 22시,22,566
479,2013년 3월 20일 - 23시,23,525
480,2013년 3월 21일 - 0시,0,313
481,2013년 3월 21일 - 1시,1,513
482,2013년 3월 21일 - 2시,2,360
483,2013년 3월 21일 - 3시,3,280
484,2013년 3월 21일 - 4시,4,602
485,2013년 3월 21일 - 5시,5,247
486,2013년 3월 21일 - 6시,6,334
487,2013년 3월 21일 - 7시,7,2868
488,2013년 3월 21일 - 8시,8,3793
489,2013년 3월 21일 - 9시,9,2684
490,2013년 3월 21일 - 10시,10,458
491,2013년 3월 21일 - 11시,11,2953
492,2013년 3월 21일 - 12시,12,585
493,2013년 3월 21일 - 13시,13,476
494,2013년 3월 21일 - 14시,14,2959
495,2013년 3월 21일 - 15시,15,2907
496,2013년 3월 21일 - 16시,16,2912
497,2013년 3월 21일 - 17시,17,3232
498,2013년 3월 21일 - 18시,18,2444
499,2013년 3월 21일 - 19시,19,3042
500,2013년 3월 21일 - 20시,20,4153
501,2013년 3월 21일 - 21시,21,673
502,2013년 3월 21일 - 22시,22,2806
503,2013년 3월 21일 - 23시,23,2828
504,2013년 3월 22일 - 0시,0,332
505,2013년 3월 22일 - 1시,1,339
506,2013년 3월 22일 - 2시,2,321
507,2013년 3월 22일 - 3시,3,468
508,2013년 3월 22일 - 4시,4,532
509,2013년 3월 22일 - 5시,5,375
510,2013년 3월 22일 - 6시,6,388
511,2013년 3월 22일 - 7시,7,4051
512,2013년 3월 22일 - 8시,8,618
513,2013년 3월 22일 - 9시,9,2948
514,2013년 3월 22일 - 10시,10,483
515,2013년 3월 22일 - 11시,11,2953
516,2013년 3월 22일 - 12시,12,585
517,2013년 3월 22일 - 13시,13,1862
518,2013년 3월 22일 - 14시,14,259
519,2013년 3월 22일 - 15시,15,321
520,2013년 3월 22일 - 16시,16,4658
521,2013년 3월 22일 - 17시,17,629
522,2013년 3월 22일 - 18시,18,5355
523,2013년 3월 22일 - 19시,19,1888
524,2013년 3월 22일 - 20시,20,522
525,2013년 3월 22일 - 21시,21,2129
526,2013년 3월 22일 - 22시,22,624
527,2013년 3월 22일 - 23시,23,460
528,2013년 3월 23일 - 0시,0,336
529,2013년 3월 23일 - 1시,1,261
530,2013년 3월 23일 - 2시,2,304
531,2013년 3월 23일 - 3시,3,236
532,2013년 3월 23일 - 4시,4,1666
533,2013년 3월 23일 - 5시,5,260
534,2013년 3월 23일 - 6시,6,330
535,2013년 3월 23일 - 7시,7,2951
536,2013년 3월 23일 - 8시,8,2153
537,2013년 3월 23일 - 9시,9,472
538,2013년 3월 23일 - 10시,10,308
539,2013년 3월 23일 - 11시,11,389
540,2013년 3월 23일 - 12시,12,370
541,2013년 3월 23일 - 13시,13,309
542,2013년 3월 23일 - 14시,14,301
543,2013년 3월 23일 - 15시,15,312
544,2013년 3월 23일 - 16시,16,2997
545,2013년 3월 23일 - 17시,17,2504
546,2013년 3월 23일 - 18시,18,2305
547,2013년 3월 23일 - 19시,19,2897
548,2013년 3월 23일 - 20시,20,2717
549,2013년 3월 23일 - 21시,21,822
550,2013년 3월 23일 - 22시,22,611
551,2013년 3월 23일 - 23시,23,289
552,2013년 3월 24일 - 0시,0,413
553,2013년 3월 24일 - 1시,1,265
554,2013년 3월 24일 - 2시,2,237
555,2013년 3월 24일 - 3시,3,264
556,2013년 3월 24일 - 4시,4,253
557,2013년 3월 24일 - 5시,5,287
558,2013년 3월 24일 - 6시,6,334
559,2013년 3월 24일 - 7시,7,2914
560,2013년 3월 24일 - 8시,8,3880
561,2013년 3월 24일 - 9시,9,2905
562,2013년 3월 24일 - 10시,10,866
563,2013년 3월 24일 - 11시,11,4682
564,2013년 3월 24일 - 12시,12,4650
565,2013년 3월 24일 - 13시,13,671
566,2013년 3월 24일 - 14시,14,3308
567,2013년 3월 24일 - 15시,15,2769
568,2013년 3월 24일 - 16시,16,1819
569,2013년 3월 24일 - 17시,17,432
570,2013년 3월 24일 - 18시,18,723
571,2013년 3월 24일 - 19시,19,2320
572,2013년 3월 24일 - 20시,20,840
573,2013년 3월 24일 - 21시,21,2464
574,2013년 3월 24일 - 22시,22,2497
575,2013년 3월 24일 - 23시,23,2854
576,2013년 3월 25일 - 0시,0,2626
577,2013년 3월 25일 - 1시,1,288
578,2013년 3월 25일 - 2시,2,310
579,2013년 3월 25일 - 3시,3,234
580,2013년 3월 25일 - 4시,4,315
581,2013년 3월 25일 - 5시,5,934
582,2013년 3월 25일 - 6시,6,650
583,2013년 3월 25일 - 7시,7,3130
584,2013년 3월 25일 - 8시,8,2894
585,2013년 3월 25일 - 9시,9,551
586,2013년 3월 25일 - 10시,10,2619
587,2013년 3월 25일 - 11시,11,859
588,2013년 3월 25일 - 12시,12,403
589,2013년 3월 25일 - 13시,13,1858
590,2013년 3월 25일 - 14시,14,950
591,2013년 3월 25일 - 15시,15,645
592,2013년 3월 25일 - 16시,16,4802
593,2013년 3월 25일 - 17시,17,2308
594,2013년 3월 25일 - 18시,18,2960
595,2013년 3월 25일 - 19시,19,2572
596,2013년 3월 25일 - 20시,20,772
597,2013년 3월 25일 - 21시,21,480
598,2013년 3월 25일 - 22시,22,2531
599,2013년 3월 25일 - 23시,23,579
600,2013년 3월 26일 - 0시,0,260
601,2013년 3월 26일 - 1시,1,224
602,2013년 3월 26일 - 2시,2,321
603,2013년 3월 26일 - 3시,3,228
604,2013년 3월 26일 - 4시,4,259
605,2013년 3월 26일 - 5시,5,226
606,2013년 3월 26일 - 6시,6,319
607,2013년 3월 26일 - 7시,7,4015
608,2013년 3월 26일 - 8시,8,666
609,2013년 3월 26일 - 9시,9,412
610,2013년 3월 26일 - 10시,10,507
611,2013년 3월 26일 - 11시,11,2851
612,2013년 3월 26일 - 12시,12,2636
613,2013년 3월 26일 - 13시,13,3063
614,2013년 3월 26일 - 14시,14,772
615,2013년 3월 26일 - 15시,15,3045
616,2013년 3월 26일 - 16시,16,2839
617,2013년 3월 26일 - 17시,17,2854
618,2013년 3월 26일 - 18시,18,4482
619,2013년 3월 26일 - 19시,19,673
620,2013년 3월 26일 - 20시,20,3333
621,2013년 3월 26일 - 21시,21,884
622,2013년 3월 26일 - 22시,22,2711
623,2013년 3월 26일 - 23시,23,2630
624,2013년 3월 27일 - 0시,0,2627
625,2013년 3월 27일 - 1시,1,394
626,2013년 3월 27일 - 2시,2,248
627,2013년 3월 27일 - 3시,3,273
628,2013년 3월 27일 - 4시,4,1962
629,2013년 3월 27일 - 5시,5,278
630,2013년 3월 27일 - 6시,6,318
631,2013년 3월 27일 - 7시,7,315
632,2013년 3월 27일 - 8시,8,3976
633,2013년 3월 27일 - 9시,9,3993
634,2013년 3월 27일 - 10시,10,491
635,2013년 3월 27일 - 11시,11,484
636,2013년 3월 27일 - 12시,12,416
637,2013년 3월 27일 - 13시,13,2094
638,2013년 3월 27일 - 14시,14,474
639,2013년 3월 27일 - 15시,15,463
640,2013년 3월 27일 - 16시,16,2785
641,2013년 3월 27일 - 17시,17,6001
642,2013년 3월 27일 - 18시,18,3247
643,2013년 3월 27일 - 19시,19,1859
644,2013년 3월 27일 - 20시,20,393
645,2013년 3월 27일 - 21시,21,629
646,2013년 3월 27일 - 22시,22,2149
647,2013년 3월 27일 - 23시,23,614
648,2013년 3월 28일 - 0시,0,295
649,2013년 3월 28일 - 1시,1,260
650,2013년 3월 28일 - 2시,2,246
651,2013년 3월 28일 - 3시,3,287
