,Unnamed: 0,DateTime,Day,Holiday,Seq,Watt,Temp
51,51,2013년 1월 3일 - 3시,목,X,3,306,8.0
52,52,2013년 1월 3일 - 4시,목,X,4,455,8.0
53,53,2013년 1월 3일 - 5시,목,X,5,366,7.0
54,54,2013년 1월 3일 - 6시,목,X,6,409,6.0
55,55,2013년 1월 3일 - 7시,목,X,7,3179,5.5
56,56,2013년 1월 3일 - 8시,목,X,8,4573,5.0
57,57,2013년 1월 3일 - 9시,목,X,9,919,5.0
58,58,2013년 1월 3일 - 10시,목,X,10,618,5.5
59,59,2013년 1월 3일 - 11시,목,X,11,828,6.5
60,60,2013년 1월 3일 - 12시,목,X,12,981,7.0
61,61,2013년 1월 3일 - 13시,목,X,13,3373,7.5
62,62,2013년 1월 3일 - 14시,목,X,14,2833,7.5
63,63,2013년 1월 3일 - 15시,목,X,15,2772,7.0
64,64,2013년 1월 3일 - 16시,목,X,16,2885,6.5
65,65,2013년 1월 3일 - 17시,목,X,17,986,6.0
66,66,2013년 1월 3일 - 18시,목,X,18,4001,6.0
67,67,2013년 1월 3일 - 19시,목,X,19,846,6.0
68,68,2013년 1월 3일 - 20시,목,X,20,816,6.0
69,69,2013년 1월 3일 - 21시,목,X,21,2449,6.0
70,70,2013년 1월 3일 - 22시,목,X,22,587,5.5
71,71,2013년 1월 3일 - 23시,목,X,23,772,5.0
72,72,2013년 1월 4일 - 0시,금,X,0,333,10.0
73,73,2013년 1월 4일 - 1시,금,X,1,1235,9.0
74,74,2013년 1월 4일 - 2시,금,X,2,960,8.5
75,75,2013년 1월 4일 - 3시,금,X,3,312,8.0
76,76,2013년 1월 4일 - 4시,금,X,4,311,8.0
77,77,2013년 1월 4일 - 5시,금,X,5,306,7.0
78,78,2013년 1월 4일 - 6시,금,X,6,374,6.0
79,79,2013년 1월 4일 - 7시,금,X,7,4354,5.5
80,80,2013년 1월 4일 - 8시,금,X,8,871,5.0
81,81,2013년 1월 4일 - 9시,금,X,9,726,5.0
82,82,2013년 1월 4일 - 10시,금,X,10,2516,5.5
83,83,2013년 1월 4일 - 11시,금,X,11,2089,6.5
84,84,2013년 1월 4일 - 12시,금,X,12,2448,7.0
85,85,2013년 1월 4일 - 13시,금,X,13,673,7.5
86,86,2013년 1월 4일 - 14시,금,X,14,718,7.5
87,87,2013년 1월 4일 - 15시,금,X,15,347,7.0
88,88,2013년 1월 4일 - 16시,금,X,16,2817,6.5
89,89,2013년 1월 4일 - 17시,금,X,17,768,6.0
90,90,2013년 1월 4일 - 18시,금,X,18,4651,6.0
91,91,2013년 1월 4일 - 19시,금,X,19,2905,6.0
92,92,2013년 1월 4일 - 20시,금,X,20,3423,6.0
93,93,2013년 1월 4일 - 21시,금,X,21,943,6.0
94,94,2013년 1월 4일 - 22시,금,X,22,524,5.5
95,95,2013년 1월 4일 - 23시,금,X,23,247,5.0
96,96,2013년 1월 5일 - 0시,토,O,0,379,10.0
97,97,2013년 1월 5일 - 1시,토,O,1,297,9.0
98,98,2013년 1월 5일 - 2시,토,O,2,1108,8.5
99,99,2013년 1월 5일 - 3시,토,O,3,237,8.0
100,100,2013년 1월 5일 - 4시,토,O,4,242,8.0
101,101,2013년 1월 5일 - 5시,토,O,5,237,7.0
102,102,2013년 1월 5일 - 6시,토,O,6,318,6.0
103,103,2013년 1월 5일 - 7시,토,O,7,2702,5.5
104,104,2013년 1월 5일 - 8시,토,O,8,2734,5.0
105,105,2013년 1월 5일 - 9시,토,O,9,2744,5.0
106,106,2013년 1월 5일 - 10시,토,O,10,2562,5.5
107,107,2013년 1월 5일 - 11시,토,O,11,969,6.5
108,108,2013년 1월 5일 - 12시,토,O,12,2705,7.0
109,109,2013년 1월 5일 - 13시,토,O,13,2790,7.5
110,110,2013년 1월 5일 - 14시,토,O,14,1045,7.5
111,111,2013년 1월 5일 - 15시,토,O,15,4526,7.0
112,112,2013년 1월 5일 - 16시,토,O,16,716,6.5
113,113,2013년 1월 5일 - 17시,토,O,17,3111,6.0
114,114,2013년 1월 5일 - 18시,토,O,18,2464,6.0
115,115,2013년 1월 5일 - 19시,토,O,19,2789,6.0
116,116,2013년 1월 5일 - 20시,토,O,20,868,6.0
117,117,2013년 1월 5일 - 21시,토,O,21,554,6.0
118,118,2013년 1월 5일 - 22시,토,O,22,577,5.5
119,119,2013년 1월 5일 - 23시,토,O,23,2467,5.0
120,120,2013년 1월 6일 - 0시,일,O,0,2521,10.0
121,121,2013년 1월 6일 - 1시,일,O,1,2015,9.0
122,122,2013년 1월 6일 - 2시,일,O,2,397,8.5
123,123,2013년 1월 6일 - 3시,일,O,3,334,8.0
124,124,2013년 1월 6일 - 4시,일,O,4,325,8.0
125,125,2013년 1월 6일 - 5시,일,O,5,318,7.0
126,126,2013년 1월 6일 - 6시,일,O,6,471,6.0
127,127,2013년 1월 6일 - 7시,일,O,7,2752,5.5
128,128,2013년 1월 6일 - 8시,일,O,8,3711,5.0
129,129,2013년 1월 6일 - 9시,일,O,9,475,5.0
130,130,2013년 1월 6일 - 10시,일,O,10,338,5.5
131,131,2013년 1월 6일 - 11시,일,O,11,4537,6.5
132,132,2013년 1월 6일 - 12시,일,O,12,2907,7.0
133,133,2013년 1월 6일 - 13시,일,O,13,2578,7.5
134,134,2013년 1월 6일 - 14시,일,O,14,1743,7.5
135,135,2013년 1월 6일 - 15시,일,O,15,2041,7.0
136,136,2013년 1월 6일 - 16시,일,O,16,371,6.5
137,137,2013년 1월 6일 - 17시,일,O,17,2894,6.0
138,138,2013년 1월 6일 - 18시,일,O,18,3007,6.0
139,139,2013년 1월 6일 - 19시,일,O,19,3062,6.0
140,140,2013년 1월 6일 - 20시,일,O,20,2038,6.0
141,141,2013년 1월 6일 - 21시,일,O,21,694,6.0
142,142,2013년 1월 6일 - 22시,일,O,22,255,5.5
143,143,2013년 1월 6일 - 23시,일,O,23,288,5.0
144,144,2013년 1월 7일 - 0시,월,X,0,1068,10.0
145,145,2013년 1월 7일 - 1시,월,X,1,239,9.0
146,146,2013년 1월 7일 - 2시,월,X,2,238,8.5
147,147,2013년 1월 7일 - 3시,월,X,3,519,8.0
148,148,2013년 1월 7일 - 4시,월,X,4,237,8.0
149,149,2013년 1월 7일 - 5시,월,X,5,250,7.0
150,150,2013년 1월 7일 - 6시,월,X,6,298,6.0
151,151,2013년 1월 7일 - 7시,월,X,7,2703,5.5
152,152,2013년 1월 7일 - 8시,월,X,8,3500,5.0
153,153,2013년 1월 7일 - 9시,월,X,9,419,5.0
154,154,2013년 1월 7일 - 10시,월,X,10,995,5.5
155,155,2013년 1월 7일 - 11시,월,X,11,3347,6.5
156,156,2013년 1월 7일 - 12시,월,X,12,3276,7.0
157,157,2013년 1월 7일 - 13시,월,X,13,276,7.5
158,158,2013년 1월 7일 - 14시,월,X,14,1085,7.5
159,159,2013년 1월 7일 - 15시,월,X,15,376,7.0
160,160,2013년 1월 7일 - 16시,월,X,16,2871,6.5
161,161,2013년 1월 7일 - 17시,월,X,17,2899,6.0
162,162,2013년 1월 7일 - 18시,월,X,18,3897,6.0
163,163,2013년 1월 7일 - 19시,월,X,19,707,6.0
164,164,2013년 1월 7일 - 20시,월,X,20,2299,6.0
165,165,2013년 1월 7일 - 21시,월,X,21,726,6.0
166,166,2013년 1월 7일 - 22시,월,X,22,628,5.5
167,167,2013년 1월 7일 - 23시,월,X,23,314,5.0
168,168,2013년 1월 8일 - 0시,화,X,0,248,10.0
169,169,2013년 1월 8일 - 1시,화,X,1,241,9.0
170,170,2013년 1월 8일 - 2시,화,X,2,382,8.5
171,171,2013년 1월 8일 - 3시,화,X,3,279,8.0
172,172,2013년 1월 8일 - 4시,화,X,4,241,8.0
173,173,2013년 1월 8일 - 5시,화,X,5,486,7.0
174,174,2013년 1월 8일 - 6시,화,X,6,366,6.0
175,175,2013년 1월 8일 - 7시,화,X,7,2943,5.5
176,176,2013년 1월 8일 - 8시,화,X,8,694,5.0
177,177,2013년 1월 8일 - 9시,화,X,9,381,5.0
178,178,2013년 1월 8일 - 10시,화,X,10,478,5.5
179,179,2013년 1월 8일 - 11시,화,X,11,3609,6.5
180,180,2013년 1월 8일 - 12시,화,X,12,570,7.0
181,181,2013년 1월 8일 - 13시,화,X,13,276,7.5
182,182,2013년 1월 8일 - 14시,화,X,14,1085,7.5
183,183,2013년 1월 8일 - 15시,화,X,15,242,7.0
184,184,2013년 1월 8일 - 16시,화,X,16,2894,6.5
185,185,2013년 1월 8일 - 17시,화,X,17,2326,6.0
186,186,2013년 1월 8일 - 18시,화,X,18,4783,6.0
187,187,2013년 1월 8일 - 19시,화,X,19,1018,6.0
188,188,2013년 1월 8일 - 20시,화,X,20,3318,6.0
189,189,2013년 1월 8일 - 21시,화,X,21,1948,6.0
190,190,2013년 1월 8일 - 22시,화,X,22,4371,5.5
191,191,2013년 1월 8일 - 23시,화,X,23,2472,5.0
192,192,2013년 1월 9일 - 0시,수,X,0,239,10.0
193,193,2013년 1월 9일 - 1시,수,X,1,737,9.0
194,194,2013년 1월 9일 - 2시,수,X,2,242,8.5
195,195,2013년 1월 9일 - 3시,수,X,3,300,8.0
196,196,2013년 1월 9일 - 4시,수,X,4,241,8.0
197,197,2013년 1월 9일 - 5시,수,X,5,250,7.0
198,198,2013년 1월 9일 - 6시,수,X,6,306,6.0
199,199,2013년 1월 9일 - 7시,수,X,7,5840,5.5
200,200,2013년 1월 9일 - 8시,수,X,8,893,5.0
201,201,2013년 1월 9일 - 9시,수,X,9,2202,5.0
202,202,2013년 1월 9일 - 10시,수,X,10,386,5.5
203,203,2013년 1월 9일 - 11시,수,X,11,1801,6.5
204,204,2013년 1월 9일 - 12시,수,X,12,1754,7.0
205,205,2013년 1월 9일 - 13시,수,X,13,365,7.5
206,206,2013년 1월 9일 - 14시,수,X,14,2967,7.5
207,207,2013년 1월 9일 - 15시,수,X,15,2928,7.0
208,208,2013년 1월 9일 - 16시,수,X,16,539,6.5
209,209,2013년 1월 9일 - 17시,수,X,17,2373,6.0
210,210,2013년 1월 9일 - 18시,수,X,18,2391,6.0
211,211,2013년 1월 9일 - 19시,수,X,19,4564,6.0
212,212,2013년 1월 9일 - 20시,수,X,20,4610,6.0
213,213,2013년 1월 9일 - 21시,수,X,21,1729,6.0
214,214,2013년 1월 9일 - 22시,수,X,22,640,5.5
215,215,2013년 1월 9일 - 23시,수,X,23,334,5.0
216,216,2013년 1월 10일 - 0시,목,X,0,330,10.0
217,217,2013년 1월 10일 - 1시,목,X,1,643,9.0
218,218,2013년 1월 10일 - 2시,목,X,2,290,8.5
219,219,2013년 1월 10일 - 3시,목,X,3,365,8.0
220,220,2013년 1월 10일 - 4시,목,X,4,250,8.0
221,221,2013년 1월 10일 - 5시,목,X,5,260,7.0
222,222,2013년 1월 10일 - 6시,목,X,6,1143,6.0
223,223,2013년 1월 10일 - 7시,목,X,7,2044,5.5
224,224,2013년 1월 10일 - 8시,목,X,8,2739,5.0
225,225,2013년 1월 10일 - 9시,목,X,9,2838,5.0
226,226,2013년 1월 10일 - 10시,목,X,10,2671,5.5
227,227,2013년 1월 10일 - 11시,목,X,11,473,6.5
228,228,2013년 1월 10일 - 12시,목,X,12,2947,7.0
229,229,2013년 1월 10일 - 13시,목,X,13,2478,7.5
230,230,2013년 1월 10일 - 14시,목,X,14,449,7.5
231,231,2013년 1월 10일 - 15시,목,X,15,308,7.0
232,232,2013년 1월 10일 - 16시,목,X,16,718,6.5
233,233,2013년 1월 10일 - 17시,목,X,17,3382,6.0
234,234,2013년 1월 10일 - 18시,목,X,18,2376,6.0
235,235,2013년 1월 10일 - 19시,목,X,19,1140,6.0
236,236,2013년 1월 10일 - 20시,목,X,20,506,6.0
237,237,2013년 1월 10일 - 21시,목,X,21,4495,6.0
238,238,2013년 1월 10일 - 22시,목,X,22,2491,5.5
239,239,2013년 1월 10일 - 23시,목,X,23,2418,5.0
240,240,2013년 1월 11일 - 0시,금,X,0,257,10.0
241,241,2013년 1월 11일 - 1시,금,X,1,193,9.0
242,242,2013년 1월 11일 - 2시,금,X,2,189,8.5
243,243,2013년 1월 11일 - 3시,금,X,3,307,8.0
244,244,2013년 1월 11일 - 4시,금,X,4,304,8.0
245,245,2013년 1월 11일 - 5시,금,X,5,4322,7.0
246,246,2013년 1월 11일 - 6시,금,X,6,2113,6.0
247,247,2013년 1월 11일 - 7시,금,X,7,372,5.5
248,248,2013년 1월 11일 - 8시,금,X,8,4476,5.0
249,249,2013년 1월 11일 - 9시,금,X,9,676,5.0
250,250,2013년 1월 11일 - 10시,금,X,10,2495,5.5
251,251,2013년 1월 11일 - 11시,금,X,11,519,6.5
252,252,2013년 1월 11일 - 12시,금,X,12,2947,7.0
253,253,2013년 1월 11일 - 13시,금,X,13,2478,7.5
254,254,2013년 1월 11일 - 14시,금,X,14,449,7.5
255,255,2013년 1월 11일 - 15시,금,X,15,308,7.0
256,256,2013년 1월 11일 - 16시,금,X,16,718,6.5
257,257,2013년 1월 11일 - 17시,금,X,17,3382,6.0
258,258,2013년 1월 11일 - 18시,금,X,18,2376,6.0
259,259,2013년 1월 11일 - 19시,금,X,19,1140,6.0
260,260,2013년 1월 11일 - 20시,금,X,20,506,6.0
261,261,2013년 1월 11일 - 21시,금,X,21,4495,6.0
262,262,2013년 1월 11일 - 22시,금,X,22,2491,5.5
263,263,2013년 1월 11일 - 23시,금,X,23,2418,5.0
264,264,2013년 1월 12일 - 0시,토,O,0,257,10.0
265,265,2013년 1월 12일 - 1시,토,O,1,193,9.0
266,266,2013년 1월 12일 - 2시,토,O,2,189,8.5
267,267,2013년 1월 12일 - 3시,토,O,3,307,8.0
268,268,2013년 1월 12일 - 4시,토,O,4,304,8.0
269,269,2013년 1월 12일 - 5시,토,O,5,4322,7.0
270,270,2013년 1월 12일 - 6시,토,O,6,2113,6.0
271,271,2013년 1월 12일 - 7시,토,O,7,372,5.5
272,272,2013년 1월 12일 - 8시,토,O,8,4476,5.0
273,273,2013년 1월 12일 - 9시,토,O,9,676,5.0
274,274,2013년 1월 12일 - 10시,토,O,10,2495,5.5
275,275,2013년 1월 12일 - 11시,토,O,11,519,6.5
276,276,2013년 1월 12일 - 12시,토,O,12,2947,7.0
277,277,2013년 1월 12일 - 13시,토,O,13,2478,7.5
278,278,2013년 1월 12일 - 14시,토,O,14,449,7.5
279,279,2013년 1월 12일 - 15시,토,O,15,308,7.0
280,280,2013년 1월 12일 - 16시,토,O,16,718,6.5
281,281,2013년 1월 12일 - 17시,토,O,17,3382,6.0
282,282,2013년 1월 12일 - 18시,토,O,18,2376,6.0
283,283,2013년 1월 12일 - 19시,토,O,19,1140,6.0
284,284,2013년 1월 12일 - 20시,토,O,20,506,6.0
285,285,2013년 1월 12일 - 21시,토,O,21,4495,6.0
286,286,2013년 1월 12일 - 22시,토,O,22,2491,5.5
287,287,2013년 1월 12일 - 23시,토,O,23,2418,5.0
288,288,2013년 1월 13일 - 0시,일,O,0,257,10.0
289,289,2013년 1월 13일 - 1시,일,O,1,193,9.0
290,290,2013년 1월 13일 - 2시,일,O,2,189,8.5
291,291,2013년 1월 13일 - 3시,일,O,3,307,8.0
292,292,2013년 1월 13일 - 4시,일,O,4,304,8.0
293,293,2013년 1월 13일 - 5시,일,O,5,4322,7.0
294,294,2013년 1월 13일 - 6시,일,O,6,2113,6.0
295,295,2013년 1월 13일 - 7시,일,O,7,372,5.5
296,296,2013년 1월 13일 - 8시,일,O,8,4476,5.0
297,297,2013년 1월 13일 - 9시,일,O,9,676,5.0
298,298,2013년 1월 13일 - 10시,일,O,10,2495,5.5
299,299,2013년 1월 13일 - 11시,일,O,11,519,6.5
300,300,2013년 1월 13일 - 12시,일,O,12,2947,7.0
301,301,2013년 1월 13일 - 13시,일,O,13,2478,7.5
302,302,2013년 1월 13일 - 14시,일,O,14,449,7.5
303,303,2013년 1월 13일 - 15시,일,O,15,308,7.0
304,304,2013년 1월 13일 - 16시,일,O,16,718,6.5
305,305,2013년 1월 13일 - 17시,일,O,17,3382,6.0
306,306,2013년 1월 13일 - 18시,일,O,18,2376,6.0
307,307,2013년 1월 13일 - 19시,일,O,19,1140,6.0
308,308,2013년 1월 13일 - 20시,일,O,20,506,6.0
309,309,2013년 1월 13일 - 21시,일,O,21,4495,6.0
310,310,2013년 1월 13일 - 22시,일,O,22,2491,5.5
311,311,2013년 1월 13일 - 23시,일,O,23,2418,5.0
312,312,2013년 1월 14일 - 0시,월,X,0,257,10.0
313,313,2013년 1월 14일 - 1시,월,X,1,193,9.0
314,314,2013년 1월 14일 - 2시,월,X,2,189,8.5
315,315,2013년 1월 14일 - 3시,월,X,3,307,8.0
316,316,2013년 1월 14일 - 4시,월,X,4,304,8.0
317,317,2013년 1월 14일 - 5시,월,X,5,4322,7.0
318,318,2013년 1월 14일 - 6시,월,X,6,2113,6.0
319,319,2013년 1월 14일 - 7시,월,X,7,372,5.5
320,320,2013년 1월 14일 - 8시,월,X,8,4476,5.0
321,321,2013년 1월 14일 - 9시,월,X,9,676,5.0
322,322,2013년 1월 14일 - 10시,월,X,10,2495,5.5
323,323,2013년 1월 14일 - 11시,월,X,11,519,6.5
324,324,2013년 1월 14일 - 12시,월,X,12,2947,7.0
325,325,2013년 1월 14일 - 13시,월,X,13,2478,7.5
326,326,2013년 1월 14일 - 14시,월,X,14,449,7.5
327,327,2013년 1월 14일 - 15시,월,X,15,308,7.0
328,328,2013년 1월 14일 - 16시,월,X,16,718,6.5
329,329,2013년 1월 14일 - 17시,월,X,17,3382,6.0
330,330,2013년 1월 14일 - 18시,월,X,18,2376,6.0
331,331,2013년 1월 14일 - 19시,월,X,19,1140,6.0
332,332,2013년 1월 14일 - 20시,월,X,20,506,6.0
333,333,2013년 1월 14일 - 21시,월,X,21,4495,6.0
334,334,2013년 1월 14일 - 22시,월,X,22,2491,5.5
335,335,2013년 1월 14일 - 23시,월,X,23,2418,5.0
336,336,2013년 1월 15일 - 0시,화,X,0,257,10.0
337,337,2013년 1월 15일 - 1시,화,X,1,193,9.0
338,338,2013년 1월 15일 - 2시,화,X,2,189,8.5
339,339,2013년 1월 15일 - 3시,화,X,3,307,8.0
340,340,2013년 1월 15일 - 4시,화,X,4,304,8.0
341,341,2013년 1월 15일 - 5시,화,X,5,4322,7.0
342,342,2013년 1월 15일 - 6시,화,X,6,2113,6.0
343,343,2013년 1월 15일 - 7시,화,X,7,372,5.5
344,344,2013년 1월 15일 - 8시,화,X,8,4476,5.0
345,345,2013년 1월 15일 - 9시,화,X,9,676,5.0
346,346,2013년 1월 15일 - 10시,화,X,10,2495,5.5
347,347,2013년 1월 15일 - 11시,화,X,11,519,6.5
348,348,2013년 1월 15일 - 12시,화,X,12,2947,7.0
349,349,2013년 1월 15일 - 13시,화,X,13,2478,7.5
350,350,2013년 1월 15일 - 14시,화,X,14,449,7.5
351,351,2013년 1월 15일 - 15시,화,X,15,308,7.0
352,352,2013년 1월 15일 - 16시,화,X,16,718,6.5
353,353,2013년 1월 15일 - 17시,화,X,17,3382,6.0
354,354,2013년 1월 15일 - 18시,화,X,18,2376,6.0
355,355,2013년 1월 15일 - 19시,화,X,19,1140,6.0
356,356,2013년 1월 15일 - 20시,화,X,20,506,6.0
357,357,2013년 1월 15일 - 21시,화,X,21,4495,6.0
358,358,2013년 1월 15일 - 22시,화,X,22,2491,5.5
359,359,2013년 1월 15일 - 23시,화,X,23,2418,5.0
360,360,2013년 1월 16일 - 0시,수,X,0,257,10.0
361,361,2013년 1월 16일 - 1시,수,X,1,193,9.0
362,362,2013년 1월 16일 - 2시,수,X,2,189,8.5
363,363,2013년 1월 16일 - 3시,수,X,3,307,8.0
364,364,2013년 1월 16일 - 4시,수,X,4,304,8.0
365,365,2013년 1월 16일 - 5시,수,X,5,4322,7.0
366,366,2013년 1월 16일 - 6시,수,X,6,2113,6.0
367,367,2013년 1월 16일 - 7시,수,X,7,372,5.5
368,368,2013년 1월 16일 - 8시,수,X,8,4476,5.0
369,369,2013년 1월 16일 - 9시,수,X,9,676,5.0
370,370,2013년 1월 16일 - 10시,수,X,10,2495,5.5
371,371,2013년 1월 16일 - 11시,수,X,11,519,6.5
372,372,2013년 1월 16일 - 12시,수,X,12,2947,7.0
373,373,2013년 1월 16일 - 13시,수,X,13,2478,7.5
374,374,2013년 1월 16일 - 14시,수,X,14,449,7.5
375,375,2013년 1월 16일 - 15시,수,X,15,308,7.0
376,376,2013년 1월 16일 - 16시,수,X,16,718,6.5
377,377,2013년 1월 16일 - 17시,수,X,17,3382,6.0
378,378,2013년 1월 16일 - 18시,수,X,18,2376,6.0
379,379,2013년 1월 16일 - 19시,수,X,19,1140,6.0
380,380,2013년 1월 16일 - 20시,수,X,20,506,6.0
381,381,2013년 1월 16일 - 21시,수,X,21,4495,6.0
382,382,2013년 1월 16일 - 22시,수,X,22,2491,5.5
383,383,2013년 1월 16일 - 23시,수,X,23,2418,5.0
384,384,2013년 1월 17일 - 0시,목,X,0,257,10.0
385,385,2013년 1월 17일 - 1시,목,X,1,193,9.0
386,386,2013년 1월 17일 - 2시,목,X,2,189,8.5
387,387,2013년 1월 17일 - 3시,목,X,3,307,8.0
388,388,2013년 1월 17일 - 4시,목,X,4,304,8.0
389,389,2013년 1월 17일 - 5시,목,X,5,4322,7.0
390,390,2013년 1월 17일 - 6시,목,X,6,2113,6.0
391,391,2013년 1월 17일 - 7시,목,X,7,372,5.5
392,392,2013년 1월 17일 - 8시,목,X,8,4476,5.0
393,393,2013년 1월 17일 - 9시,목,X,9,676,5.0
394,394,2013년 1월 17일 - 10시,목,X,10,2495,5.5
395,395,2013년 1월 17일 - 11시,목,X,11,519,6.5
396,396,2013년 1월 17일 - 12시,목,X,12,2947,7.0
397,397,2013년 1월 17일 - 13시,목,X,13,2478,7.5
398,398,2013년 1월 17일 - 14시,목,X,14,449,7.5
399,399,2013년 1월 17일 - 15시,목,X,15,308,7.0
400,400,2013년 1월 17일 - 16시,목,X,16,718,6.5
401,401,2013년 1월 17일 - 17시,목,X,17,3382,6.0
402,402,2013년 1월 17일 - 18시,목,X,18,2376,6.0
403,403,2013년 1월 17일 - 19시,목,X,19,1140,6.0
404,404,2013년 1월 17일 - 20시,목,X,20,506,6.0
405,405,2013년 1월 17일 - 21시,목,X,21,4495,6.0
406,406,2013년 1월 17일 - 22시,목,X,22,2491,5.5
407,407,2013년 1월 17일 - 23시,목,X,23,2418,5.0
408,408,2013년 1월 18일 - 0시,금,X,0,257,10.0
409,409,2013년 1월 18일 - 1시,금,X,1,193,9.0
410,410,2013년 1월 18일 - 2시,금,X,2,189,8.5
411,411,2013년 1월 18일 - 3시,금,X,3,307,8.0
412,412,2013년 1월 18일 - 4시,금,X,4,304,8.0
413,413,2013년 1월 18일 - 5시,금,X,5,4322,7.0
414,414,2013년 1월 18일 - 6시,금,X,6,2113,6.0
415,415,2013년 1월 18일 - 7시,금,X,7,372,5.5
416,416,2013년 1월 18일 - 8시,금,X,8,4476,5.0
417,417,2013년 1월 18일 - 9시,금,X,9,676,5.0
418,418,2013년 1월 18일 - 10시,금,X,10,2495,5.5
419,419,2013년 1월 18일 - 11시,금,X,11,519,6.5
420,420,2013년 1월 18일 - 12시,금,X,12,2947,7.0
421,421,2013년 1월 18일 - 13시,금,X,13,2478,7.5
422,422,2013년 1월 18일 - 14시,금,X,14,449,7.5
423,423,2013년 1월 18일 - 15시,금,X,15,308,7.0
424,424,2013년 1월 18일 - 16시,금,X,16,718,6.5
425,425,2013년 1월 18일 - 17시,금,X,17,2205,6.0
426,426,2013년 1월 18일 - 18시,금,X,18,2273,6.0
427,427,2013년 1월 18일 - 19시,금,X,19,527,6.0
428,428,2013년 1월 18일 - 20시,금,X,20,893,6.0
429,429,2013년 1월 18일 - 21시,금,X,21,2621,6.0
430,430,2013년 1월 18일 - 22시,금,X,22,478,5.5
431,431,2013년 1월 18일 - 23시,금,X,23,1051,5.0
432,432,2013년 1월 19일 - 0시,토,O,0,322,10.0
433,433,2013년 1월 19일 - 1시,토,O,1,313,9.0
434,434,2013년 1월 19일 - 2시,토,O,2,288,8.5
435,435,2013년 1월 19일 - 3시,토,O,3,383,8.0
436,436,2013년 1월 19일 - 4시,토,O,4,436,8.0
437,437,2013년 1월 19일 - 5시,토,O,5,427,7.0
438,438,2013년 1월 19일 - 6시,토,O,6,2636,6.0
439,439,2013년 1월 19일 - 7시,토,O,7,2025,5.5
440,440,2013년 1월 19일 - 8시,토,O,8,2018,5.0
441,441,2013년 1월 19일 - 9시,토,O,9,1033,5.0
