,DateTime,Day,Holiday,Seq,Watt,Temp
66,2013년 9월 3일 - 18시,화,0,18,2166,24.0
67,2013년 9월 3일 - 19시,화,0,19,551,23.5
68,2013년 9월 3일 - 20시,화,0,20,569,22.0
69,2013년 9월 3일 - 21시,화,0,21,519,21.0
70,2013년 9월 3일 - 22시,화,0,22,299,20.5
71,2013년 9월 3일 - 23시,화,0,23,448,20.0
72,2013년 9월 4일 - 0시,수,0,0,332,19.0
73,2013년 9월 4일 - 1시,수,0,1,289,18.5
74,2013년 9월 4일 - 2시,수,0,2,291,18.0
75,2013년 9월 4일 - 3시,수,0,3,973,17.0
76,2013년 9월 4일 - 4시,수,0,4,727,17.0
77,2013년 9월 4일 - 5시,수,0,5,2694,16.5
78,2013년 9월 4일 - 6시,수,0,6,4699,16.5
79,2013년 9월 4일 - 7시,수,0,7,2368,17.0
80,2013년 9월 4일 - 8시,수,0,8,2851,17.5
81,2013년 9월 4일 - 9시,수,0,9,1845,18.5
82,2013년 9월 4일 - 10시,수,0,10,293,20.0
83,2013년 9월 4일 - 11시,수,0,11,2769,22.5
84,2013년 9월 4일 - 12시,수,0,12,1909,24.5
85,2013년 9월 4일 - 13시,수,0,13,463,26.0
86,2013년 9월 4일 - 14시,수,0,14,418,26.0
87,2013년 9월 4일 - 15시,수,0,15,270,25.5
88,2013년 9월 4일 - 16시,수,0,16,2599,25.0
89,2013년 9월 4일 - 17시,수,0,17,1976,23.5
90,2013년 9월 4일 - 18시,수,0,18,700,21.5
91,2013년 9월 4일 - 19시,수,0,19,577,20.5
92,2013년 9월 4일 - 20시,수,0,20,2132,19.0
93,2013년 9월 4일 - 21시,수,0,21,2575,19.0
94,2013년 9월 4일 - 22시,수,0,22,2655,18.5
95,2013년 9월 4일 - 23시,수,0,23,2612,18.0
96,2013년 9월 5일 - 0시,목,0,0,234,18.0
97,2013년 9월 5일 - 1시,목,0,1,221,18.0
98,2013년 9월 5일 - 2시,목,0,2,222,18.0
99,2013년 9월 5일 - 3시,목,0,3,226,18.0
100,2013년 9월 5일 - 4시,목,0,4,358,17.5
101,2013년 9월 5일 - 5시,목,0,5,364,17.0
102,2013년 9월 5일 - 6시,목,0,6,2564,17.0
103,2013년 9월 5일 - 7시,목,0,7,3654,17.0
104,2013년 9월 5일 - 8시,목,0,8,214,17.0
105,2013년 9월 5일 - 9시,목,0,9,260,20.0
106,2013년 9월 5일 - 10시,목,0,10,962,22.0
107,2013년 9월 5일 - 11시,목,0,11,2595,24.5
108,2013년 9월 5일 - 12시,목,0,12,274,27.0
109,2013년 9월 5일 - 13시,목,0,13,3709,28.0
110,2013년 9월 5일 - 14시,목,0,14,252,28.5
111,2013년 9월 5일 - 15시,목,0,15,2715,29.0
112,2013년 9월 5일 - 16시,목,0,16,394,28.5
113,2013년 9월 5일 - 17시,목,0,17,2575,28.0
114,2013년 9월 5일 - 18시,목,0,18,618,27.5
115,2013년 9월 5일 - 19시,목,0,19,645,26.5
116,2013년 9월 5일 - 20시,목,0,20,867,24.0
117,2013년 9월 5일 - 21시,목,0,21,425,21.5
118,2013년 9월 5일 - 22시,목,0,22,294,20.5
119,2013년 9월 5일 - 23시,목,0,23,289,20.0
120,2013년 9월 6일 - 0시,금,0,0,288,19.0
121,2013년 9월 6일 - 1시,금,0,1,283,18.0
122,2013년 9월 6일 - 2시,금,0,2,289,18.0
123,2013년 9월 6일 - 3시,금,0,3,291,17.0
124,2013년 9월 6일 - 4시,금,0,4,357,16.5
125,2013년 9월 6일 - 5시,금,0,5,820,16.0
126,2013년 9월 6일 - 6시,금,0,6,2735,16.0
127,2013년 9월 6일 - 7시,금,0,7,2029,16.0
128,2013년 9월 6일 - 8시,금,0,8,450,16.0
129,2013년 9월 6일 - 9시,금,0,9,2641,16.0
130,2013년 9월 6일 - 10시,금,0,10,1888,16.5
131,2013년 9월 6일 - 11시,금,0,11,367,17.0
132,2013년 9월 6일 - 12시,금,0,12,2787,17.0
133,2013년 9월 6일 - 13시,금,0,13,839,16.0
134,2013년 9월 6일 - 14시,금,0,14,455,16.5
135,2013년 9월 6일 - 15시,금,0,15,468,17.0
136,2013년 9월 6일 - 16시,금,0,16,4426,18.0
137,2013년 9월 6일 - 17시,금,0,17,2787,17.5
138,2013년 9월 6일 - 18시,금,0,18,2108,17.0
139,2013년 9월 6일 - 19시,금,0,19,1980,16.5
140,2013년 9월 6일 - 20시,금,0,20,4276,15.5
141,2013년 9월 6일 - 21시,금,0,21,2664,14.5
142,2013년 9월 6일 - 22시,금,0,22,432,14.0
143,2013년 9월 6일 - 23시,금,0,23,249,14.0
144,2013년 9월 7일 - 0시,토,1,0,787,14.0
145,2013년 9월 7일 - 1시,토,1,1,369,14.0
146,2013년 9월 7일 - 2시,토,1,2,304,13.0
147,2013년 9월 7일 - 3시,토,1,3,685,14.0
148,2013년 9월 7일 - 4시,토,1,4,768,12.5
149,2013년 9월 7일 - 5시,토,1,5,770,12.5
150,2013년 9월 7일 - 6시,토,1,6,766,12.5
151,2013년 9월 7일 - 7시,토,1,7,2661,14.0
152,2013년 9월 7일 - 8시,토,1,8,1976,14.5
153,2013년 9월 7일 - 9시,토,1,9,2658,15.0
154,2013년 9월 7일 - 10시,토,1,10,2596,16.5
155,2013년 9월 7일 - 11시,토,1,11,2605,17.0
156,2013년 9월 7일 - 12시,토,1,12,2488,16.5
157,2013년 9월 7일 - 13시,토,1,13,2457,18.0
158,2013년 9월 7일 - 14시,토,1,14,1650,18.5
159,2013년 9월 7일 - 15시,토,1,15,256,18.0
160,2013년 9월 7일 - 16시,토,1,16,467,18.0
161,2013년 9월 7일 - 17시,토,1,17,2800,17.0
162,2013년 9월 7일 - 18시,토,1,18,2017,16.5
163,2013년 9월 7일 - 19시,토,1,19,3015,15.5
164,2013년 9월 7일 - 20시,토,1,20,534,15.0
165,2013년 9월 7일 - 21시,토,1,21,496,13.5
166,2013년 9월 7일 - 22시,토,1,22,399,13.5
167,2013년 9월 7일 - 23시,토,1,23,239,13.0
168,2013년 9월 8일 - 0시,일,1,0,226,13.5
169,2013년 9월 8일 - 1시,일,1,1,238,13.0
170,2013년 9월 8일 - 2시,일,1,2,236,12.5
171,2013년 9월 8일 - 3시,일,1,3,235,12.5
172,2013년 9월 8일 - 4시,일,1,4,237,12.0
173,2013년 9월 8일 - 5시,일,1,5,1017,12.0
174,2013년 9월 8일 - 6시,일,1,6,358,12.5
175,2013년 9월 8일 - 7시,일,1,7,3714,13.5
176,2013년 9월 8일 - 8시,일,1,8,269,15.0
177,2013년 9월 8일 - 9시,일,1,9,293,16.0
178,2013년 9월 8일 - 10시,일,1,10,2579,17.0
179,2013년 9월 8일 - 11시,일,1,11,266,17.0
180,2013년 9월 8일 - 12시,일,1,12,518,16.0
181,2013년 9월 8일 - 13시,일,1,13,2827,16.0
182,2013년 9월 8일 - 14시,일,1,14,485,16.5
183,2013년 9월 8일 - 15시,일,1,15,4477,14.5
184,2013년 9월 8일 - 16시,일,1,16,282,13.5
185,2013년 9월 8일 - 17시,일,1,17,2608,14.0
186,2013년 9월 8일 - 18시,일,1,18,2038,14.0
187,2013년 9월 8일 - 19시,일,1,19,506,13.0
188,2013년 9월 8일 - 20시,일,1,20,498,13.0
189,2013년 9월 8일 - 21시,일,1,21,640,12.0
190,2013년 9월 8일 - 22시,일,1,22,300,12.0
191,2013년 9월 8일 - 23시,일,1,23,288,12.0
192,2013년 9월 9일 - 0시,월,0,0,324,12.0
193,2013년 9월 9일 - 1시,월,0,1,216,11.0
194,2013년 9월 9일 - 2시,월,0,2,364,11.0
195,2013년 9월 9일 - 3시,월,0,3,224,11.0
196,2013년 9월 9일 - 4시,월,0,4,755,12.0
197,2013년 9월 9일 - 5시,월,0,5,840,12.0
198,2013년 9월 9일 - 6시,월,0,6,2657,12.5
199,2013년 9월 9일 - 7시,월,0,7,1928,13.0
200,2013년 9월 9일 - 8시,월,0,8,2852,13.0
201,2013년 9월 9일 - 9시,월,0,9,271,13.0
202,2013년 9월 9일 - 10시,월,0,10,875,13.5
203,2013년 9월 9일 - 11시,월,0,11,345,14.0
204,2013년 9월 9일 - 12시,월,0,12,4240,13.0
205,2013년 9월 9일 - 13시,월,0,13,2743,12.5
206,2013년 9월 9일 - 14시,월,0,14,1771,13.0
207,2013년 9월 9일 - 15시,월,0,15,242,13.0
208,2013년 9월 9일 - 16시,월,0,16,2893,13.0
209,2013년 9월 9일 - 17시,월,0,17,4600,13.0
210,2013년 9월 9일 - 18시,월,0,18,960,13.5
211,2013년 9월 9일 - 19시,월,0,19,723,13.0
212,2013년 9월 9일 - 20시,월,0,20,597,13.0
213,2013년 9월 9일 - 21시,월,0,21,564,13.0
214,2013년 9월 9일 - 22시,월,0,22,351,12.5
215,2013년 9월 9일 - 23시,월,0,23,342,12.0
216,2013년 9월 10일 - 0시,화,0,0,281,12.0
217,2013년 9월 10일 - 1시,화,0,1,280,12.0
218,2013년 9월 10일 - 2시,화,0,2,275,11.5
219,2013년 9월 10일 - 3시,화,0,3,417,11.0
220,2013년 9월 10일 - 4시,화,0,4,278,11.0
221,2013년 9월 10일 - 5시,화,0,5,401,11.0
222,2013년 9월 10일 - 6시,화,0,6,3786,11.0
223,2013년 9월 10일 - 7시,화,0,7,1976,12.0
224,2013년 9월 10일 - 8시,화,0,8,386,12.5
225,2013년 9월 10일 - 9시,화,0,9,2890,13.5
226,2013년 9월 10일 - 10시,화,0,10,392,15.0
227,2013년 9월 10일 - 11시,화,0,11,3748,16.0
228,2013년 9월 10일 - 12시,화,0,12,2665,16.0
229,2013년 9월 10일 - 13시,화,0,13,2867,17.0
230,2013년 9월 10일 - 14시,화,0,14,2855,17.0
231,2013년 9월 10일 - 15시,화,0,15,1787,16.5
232,2013년 9월 10일 - 16시,화,0,16,2715,15.0
233,2013년 9월 10일 - 17시,화,0,17,2058,14.5
234,2013년 9월 10일 - 18시,화,0,18,375,14.0
235,2013년 9월 10일 - 19시,화,0,19,2286,13.0
236,2013년 9월 10일 - 20시,화,0,20,526,13.5
237,2013년 9월 10일 - 21시,화,0,21,2750,13.5
238,2013년 9월 10일 - 22시,화,0,22,2715,14.0
239,2013년 9월 10일 - 23시,화,0,23,273,14.0
240,2013년 9월 11일 - 0시,수,0,0,275,14.0
241,2013년 9월 11일 - 1시,수,0,1,294,14.0
242,2013년 9월 11일 - 2시,수,0,2,297,14.0
243,2013년 9월 11일 - 3시,수,0,3,218,13.5
244,2013년 9월 11일 - 4시,수,0,4,221,13.0
245,2013년 9월 11일 - 5시,수,0,5,5260,13.0
246,2013년 9월 11일 - 6시,수,0,6,2711,13.0
247,2013년 9월 11일 - 7시,수,0,7,375,13.5
248,2013년 9월 11일 - 8시,수,0,8,379,14.0
249,2013년 9월 11일 - 9시,수,0,9,271,14.5
250,2013년 9월 11일 - 10시,수,0,10,261,15.5
251,2013년 9월 11일 - 11시,수,0,11,269,16.0
252,2013년 9월 11일 - 12시,수,0,12,237,16.0
253,2013년 9월 11일 - 13시,수,0,13,239,17.0
254,2013년 9월 11일 - 14시,수,0,14,237,17.0
255,2013년 9월 11일 - 15시,수,0,15,246,17.0
256,2013년 9월 11일 - 16시,수,0,16,4576,16.0
257,2013년 9월 11일 - 17시,수,0,17,402,15.0
258,2013년 9월 11일 - 18시,수,0,18,522,15.0
259,2013년 9월 11일 - 19시,수,0,19,2928,14.5
260,2013년 9월 11일 - 20시,수,0,20,1476,14.0
261,2013년 9월 11일 - 21시,수,0,21,516,14.0
262,2013년 9월 11일 - 22시,수,0,22,236,14.0
263,2013년 9월 11일 - 23시,수,0,23,380,14.0
264,2013년 9월 12일 - 0시,목,0,0,236,14.0
265,2013년 9월 12일 - 1시,목,0,1,248,14.0
266,2013년 9월 12일 - 2시,목,0,2,238,14.0
267,2013년 9월 12일 - 3시,목,0,3,261,14.0
268,2013년 9월 12일 - 4시,목,0,4,232,13.5
269,2013년 9월 12일 - 5시,목,0,5,267,14.0
270,2013년 9월 12일 - 6시,목,0,6,301,13.5
271,2013년 9월 12일 - 7시,목,0,7,2671,13.5
272,2013년 9월 12일 - 8시,목,0,8,1974,14.0
273,2013년 9월 12일 - 9시,목,0,9,280,14.0
274,2013년 9월 12일 - 10시,목,0,10,438,15.0
275,2013년 9월 12일 - 11시,목,0,11,444,17.0
276,2013년 9월 12일 - 12시,목,0,12,435,17.5
277,2013년 9월 12일 - 13시,목,0,13,379,17.5
278,2013년 9월 12일 - 14시,목,0,14,375,17.5
279,2013년 9월 12일 - 15시,목,0,15,441,17.5
280,2013년 9월 12일 - 16시,목,0,16,308,18.0
281,2013년 9월 12일 - 17시,목,0,17,229,18.0
282,2013년 9월 12일 - 18시,목,0,18,2654,18.0
283,2013년 9월 12일 - 19시,목,0,19,670,17.5
284,2013년 9월 12일 - 20시,목,0,20,569,16.5
285,2013년 9월 12일 - 21시,목,0,21,433,16.0
286,2013년 9월 12일 - 22시,목,0,22,932,16.0
287,2013년 9월 12일 - 23시,목,0,23,309,16.0
288,2013년 9월 13일 - 0시,금,0,0,899,16.0
289,2013년 9월 13일 - 1시,금,0,1,926,16.0
290,2013년 9월 13일 - 2시,금,0,2,236,16.5
291,2013년 9월 13일 - 3시,금,0,3,258,17.0
292,2013년 9월 13일 - 4시,금,0,4,379,17.0
293,2013년 9월 13일 - 5시,금,0,5,1268,17.0
294,2013년 9월 13일 - 6시,금,0,6,353,17.5
295,2013년 9월 13일 - 7시,금,0,7,251,17.5
296,2013년 9월 13일 - 8시,금,0,8,2734,18.0
297,2013년 9월 13일 - 9시,금,0,9,407,18.0
298,2013년 9월 13일 - 10시,금,0,10,348,18.0
299,2013년 9월 13일 - 11시,금,0,11,269,18.0
300,2013년 9월 13일 - 12시,금,0,12,267,17.0
301,2013년 9월 13일 - 13시,금,0,13,258,17.0
302,2013년 9월 13일 - 14시,금,0,14,232,17.0
303,2013년 9월 13일 - 15시,금,0,15,853,16.5
304,2013년 9월 13일 - 16시,금,0,16,304,16.0
305,2013년 9월 13일 - 17시,금,0,17,234,16.0
306,2013년 9월 13일 - 18시,금,0,18,235,16.0
307,2013년 9월 13일 - 19시,금,0,19,3054,16.0
308,2013년 9월 13일 - 20시,금,0,20,4607,16.0
309,2013년 9월 13일 - 21시,금,0,21,3458,15.0
310,2013년 9월 13일 - 22시,금,0,22,690,15.0
311,2013년 9월 13일 - 23시,금,0,23,241,15.0
312,2013년 9월 14일 - 0시,토,1,0,245,14.0
313,2013년 9월 14일 - 1시,토,1,1,322,14.0
314,2013년 9월 14일 - 2시,토,1,2,232,14.0
315,2013년 9월 14일 - 3시,토,1,3,451,14.0
316,2013년 9월 14일 - 4시,토,1,4,232,14.0
317,2013년 9월 14일 - 5시,토,1,5,299,12.5
318,2013년 9월 14일 - 6시,토,1,6,304,11.0
319,2013년 9월 14일 - 7시,토,1,7,2716,11.5
320,2013년 9월 14일 - 8시,토,1,8,4594,11.5
321,2013년 9월 14일 - 9시,토,1,9,481,12.0
322,2013년 9월 14일 - 10시,토,1,10,846,12.5
323,2013년 9월 14일 - 11시,토,1,11,2812,13.0
324,2013년 9월 14일 - 12시,토,1,12,2892,13.0
325,2013년 9월 14일 - 13시,토,1,13,341,13.5
326,2013년 9월 14일 - 14시,토,1,14,423,13.0
327,2013년 9월 14일 - 15시,토,1,15,2914,14.0
328,2013년 9월 14일 - 16시,토,1,16,2719,14.0
329,2013년 9월 14일 - 17시,토,1,17,3676,14.0
330,2013년 9월 14일 - 18시,토,1,18,2765,14.0
331,2013년 9월 14일 - 19시,토,1,19,2379,14.0
332,2013년 9월 14일 - 20시,토,1,20,620,13.0
333,2013년 9월 14일 - 21시,토,1,21,340,12.5
334,2013년 9월 14일 - 22시,토,1,22,250,11.5
335,2013년 9월 14일 - 23시,토,1,23,240,11.0
336,2013년 9월 15일 - 0시,일,1,0,390,11.0
337,2013년 9월 15일 - 1시,일,1,1,297,10.0
338,2013년 9월 15일 - 2시,일,1,2,242,10.0
339,2013년 9월 15일 - 3시,일,1,3,240,10.0
340,2013년 9월 15일 - 4시,일,1,4,252,9.0
341,2013년 9월 15일 - 5시,일,1,5,261,9.0
342,2013년 9월 15일 - 6시,일,1,6,277,9.0
343,2013년 9월 15일 - 7시,일,1,7,4414,10.5
344,2013년 9월 15일 - 8시,일,1,8,2634,12.5
345,2013년 9월 15일 - 9시,일,1,9,2612,14.5
346,2013년 9월 15일 - 10시,일,1,10,260,15.5
347,2013년 9월 15일 - 11시,일,1,11,275,15.5
348,2013년 9월 15일 - 12시,일,1,12,550,15.0
349,2013년 9월 15일 - 13시,일,1,13,260,15.0
350,2013년 9월 15일 - 14시,일,1,14,2684,14.5
351,2013년 9월 15일 - 15시,일,1,15,1980,14.5
352,2013년 9월 15일 - 16시,일,1,16,2714,15.0
353,2013년 9월 15일 - 17시,일,1,17,1969,15.0
354,2013년 9월 15일 - 18시,일,1,18,2102,15.0
355,2013년 9월 15일 - 19시,일,1,19,2125,16.0
356,2013년 9월 15일 - 20시,일,1,20,506,16.0
357,2013년 9월 15일 - 21시,일,1,21,240,15.5
358,2013년 9월 15일 - 22시,일,1,22,239,15.0
359,2013년 9월 15일 - 23시,일,1,23,224,15.0
360,2013년 9월 16일 - 0시,월,0,0,218,13.5
361,2013년 9월 16일 - 1시,월,0,1,257,12.0
362,2013년 9월 16일 - 2시,월,0,2,217,11.0
363,2013년 9월 16일 - 3시,월,0,3,245,10.5
364,2013년 9월 16일 - 4시,월,0,4,219,10.0
365,2013년 9월 16일 - 5시,월,0,5,516,10.0
366,2013년 9월 16일 - 6시,월,0,6,4474,9.5
367,2013년 9월 16일 - 7시,월,0,7,414,10.5
368,2013년 9월 16일 - 8시,월,0,8,389,11.5
369,2013년 9월 16일 - 9시,월,0,9,2865,13.5
370,2013년 9월 16일 - 10시,월,0,10,2865,14.5
371,2013년 9월 16일 - 11시,월,0,11,3751,14.5
372,2013년 9월 16일 - 12시,월,0,12,262,15.0
373,2013년 9월 16일 - 13시,월,0,13,251,13.0
374,2013년 9월 16일 - 14시,월,0,14,271,13.5
375,2013년 9월 16일 - 15시,월,0,15,252,13.0
376,2013년 9월 16일 - 16시,월,0,16,2660,14.0
377,2013년 9월 16일 - 17시,월,0,17,2039,14.0
378,2013년 9월 16일 - 18시,월,0,18,2261,13.0
379,2013년 9월 16일 - 19시,월,0,19,675,12.5
380,2013년 9월 16일 - 20시,월,0,20,446,12.0
381,2013년 9월 16일 - 21시,월,0,21,388,11.5
382,2013년 9월 16일 - 22시,월,0,22,300,10.5
383,2013년 9월 16일 - 23시,월,0,23,294,10.0
384,2013년 9월 17일 - 0시,화,0,0,908,10.0
385,2013년 9월 17일 - 1시,화,0,1,218,9.0
386,2013년 9월 17일 - 2시,화,0,2,242,9.0
387,2013년 9월 17일 - 3시,화,0,3,225,10.0
388,2013년 9월 17일 - 4시,화,0,4,224,10.0
389,2013년 9월 17일 - 5시,화,0,5,1662,10.0
390,2013년 9월 17일 - 6시,화,0,6,2806,10.5
391,2013년 9월 17일 - 7시,화,0,7,2002,11.0
392,2013년 9월 17일 - 8시,화,0,8,393,12.0
393,2013년 9월 17일 - 9시,화,0,9,974,13.0
394,2013년 9월 17일 - 10시,화,0,10,397,13.0
395,2013년 9월 17일 - 11시,화,0,11,492,14.0
396,2013년 9월 17일 - 12시,화,0,12,2882,13.5
397,2013년 9월 17일 - 13시,화,0,13,364,12.0
398,2013년 9월 17일 - 14시,화,0,14,401,12.5
399,2013년 9월 17일 - 15시,화,0,15,743,13.0
400,2013년 9월 17일 - 16시,화,0,16,957,12.0
401,2013년 9월 17일 - 17시,화,0,17,2739,12.5
402,2013년 9월 17일 - 18시,화,0,18,437,13.0
403,2013년 9월 17일 - 19시,화,0,19,2879,13.0
404,2013년 9월 17일 - 20시,화,0,20,2800,13.0
405,2013년 9월 17일 - 21시,화,0,21,474,13.5
406,2013년 9월 17일 - 22시,화,0,22,259,14.0
407,2013년 9월 17일 - 23시,화,0,23,317,14.0
408,2013년 9월 18일 - 0시,수,0,0,856,13.5
409,2013년 9월 18일 - 1시,수,0,1,308,13.0
410,2013년 9월 18일 - 2시,수,0,2,449,12.5
411,2013년 9월 18일 - 3시,수,0,3,229,12.0
412,2013년 9월 18일 - 4시,수,0,4,290,11.5
413,2013년 9월 18일 - 5시,수,0,5,903,11.5
414,2013년 9월 18일 - 6시,수,0,6,286,12.0
415,2013년 9월 18일 - 7시,수,0,7,4417,12.0
416,2013년 9월 18일 - 8시,수,0,8,1972,12.0
417,2013년 9월 18일 - 9시,수,0,9,264,13.0
418,2013년 9월 18일 - 10시,수,0,10,258,14.0
419,2013년 9월 18일 - 11시,수,0,11,264,14.5
420,2013년 9월 18일 - 12시,수,0,12,260,14.5
421,2013년 9월 18일 - 13시,수,0,13,270,15.5
422,2013년 9월 18일 - 14시,수,0,14,254,16.0
423,2013년 9월 18일 - 15시,수,0,15,399,15.5
424,2013년 9월 18일 - 16시,수,0,16,2130,15.0
425,2013년 9월 18일 - 17시,수,0,17,4713,15.0
426,2013년 9월 18일 - 18시,수,0,18,1702,15.0
427,2013년 9월 18일 - 19시,수,0,19,591,14.0
428,2013년 9월 18일 - 20시,수,0,20,848,14.0
429,2013년 9월 18일 - 21시,수,0,21,493,14.0
430,2013년 9월 18일 - 22시,수,0,22,313,13.0
431,2013년 9월 18일 - 23시,수,0,23,297,13.0
432,2013년 9월 19일 - 0시,목,0,0,232,11.5
433,2013년 9월 19일 - 1시,목,0,1,300,10.0
434,2013년 9월 19일 - 2시,목,0,2,224,10.0
435,2013년 9월 19일 - 3시,목,0,3,610,10.0
436,2013년 9월 19일 - 4시,목,0,4,695,10.0
437,2013년 9월 19일 - 5시,목,0,5,229,9.5
438,2013년 9월 19일 - 6시,목,0,6,222,10.0
439,2013년 9월 19일 - 7시,목,0,7,3775,11.0
440,2013년 9월 19일 - 8시,목,0,8,473,12.5
441,2013년 9월 19일 - 9시,목,0,9,256,14.0
442,2013년 9월 19일 - 10시,목,0,10,903,15.5
443,2013년 9월 19일 - 11시,목,0,11,3235,16.0
444,2013년 9월 19일 - 12시,목,0,12,4103,16.0
445,2013년 9월 19일 - 13시,목,0,13,2627,14.5
446,2013년 9월 19일 - 14시,목,0,14,2534,15.0
447,2013년 9월 19일 - 15시,목,0,15,957,15.0
448,2013년 9월 19일 - 16시,목,0,16,1987,16.0
449,2013년 9월 19일 - 17시,목,0,17,2947,16.5
450,2013년 9월 19일 - 18시,목,0,18,551,17.0
451,2013년 9월 19일 - 19시,목,0,19,1977,16.0
452,2013년 9월 19일 - 20시,목,0,20,2308,16.0
453,2013년 9월 19일 - 21시,목,0,21,2040,15.5
454,2013년 9월 19일 - 22시,목,0,22,558,14.5
455,2013년 9월 19일 - 23시,목,0,23,447,14.0
456,2013년 9월 20일 - 0시,금,0,0,222,13.0
457,2013년 9월 20일 - 1시,금,0,1,225,12.5
458,2013년 9월 20일 - 2시,금,0,2,321,13.0
459,2013년 9월 20일 - 3시,금,0,3,224,12.5
460,2013년 9월 20일 - 4시,금,0,4,223,12.0
461,2013년 9월 20일 - 5시,금,0,5,399,12.0
462,2013년 9월 20일 - 6시,금,0,6,299,12.5
463,2013년 9월 20일 - 7시,금,0,7,2742,13.0
464,2013년 9월 20일 - 8시,금,0,8,794,13.5
465,2013년 9월 20일 - 9시,금,0,9,262,14.5
466,2013년 9월 20일 - 10시,금,0,10,413,15.0
467,2013년 9월 20일 - 11시,금,0,11,414,15.5
468,2013년 9월 20일 - 12시,금,0,12,4594,17.0
469,2013년 9월 20일 - 13시,금,0,13,586,18.0
470,2013년 9월 20일 - 14시,금,0,14,1272,18.0
471,2013년 9월 20일 - 15시,금,0,15,421,18.5
472,2013년 9월 20일 - 16시,금,0,16,406,18.0
473,2013년 9월 20일 - 17시,금,0,17,2777,18.0
474,2013년 9월 20일 - 18시,금,0,18,1974,17.0
